date,gdp,cpi,unemployment,fed_rate,employment,money_supply,log_gdp
1990-03-31,5872.701,128.03333333333333,5.3,8.25,109424.0,3178.7000000000003,8.678069943278105
1990-06-30,5960.028,129.29999999999998,5.333333333333333,8.243333333333332,109784.0,3205.2999999999997,8.692830458034937
1990-09-30,6015.116,131.53333333333333,5.7,8.16,109648.0,3240.366666666667,8.702030913343355
1990-12-31,6004.733,133.76666666666665,6.133333333333333,7.743333333333332,109255.66666666667,3264.566666666667,8.700303270578035
1991-03-31,6035.178,134.76666666666668,6.6000000000000005,6.426666666666667,108787.0,3304.7000000000003,8.705360627711421
1991-06-30,6126.862,135.56666666666666,6.833333333333333,5.863333333333333,108311.0,3342.433333333333,8.72043798921429
1991-09-30,6205.937,136.6,6.866666666666667,5.6433333333333335,108308.0,3355.3333333333335,8.733261693490476
1991-12-31,6264.54,137.73333333333332,7.1000000000000005,4.816666666666666,108330.33333333333,3365.933333333333,8.74266044085159
1992-03-31,6363.102,138.66666666666666,7.366666666666667,4.023333333333333,108348.33333333333,3395.0333333333333,8.758271273278757
1992-06-30,6470.763,139.73333333333332,7.6000000000000005,3.7699999999999996,108623.66666666667,3397.2333333333336,8.775049309444507
1992-09-30,6566.641,140.79999999999998,7.633333333333333,3.2566666666666664,108886.66666666667,3401.0,8.78975771742089
1992-12-31,6680.803,142.03333333333333,7.366666666666667,3.0366666666666666,109307.66666666667,3425.0,8.806993468886937
1993-03-31,6729.459,143.0666666666667,7.133333333333333,3.0399999999999996,109947.33333333333,3415.1,8.814250033077753
1993-06-30,6808.939,144.1,7.066666666666666,3.0,110537.66666666667,3430.2000000000003,8.825991586711746
1993-09-30,6882.098,144.76666666666668,6.8,3.06,111234.33333333333,3446.633333333333,8.836678826302535
1993-12-31,7013.738,145.96666666666667,6.633333333333333,2.99,112015.33333333333,3467.1,8.85562607613875
1994-03-31,7115.652,146.70000000000002,6.566666666666666,3.2133333333333334,112876.0,3476.9,8.870052143711309
1994-06-30,7246.931,147.53333333333333,6.2,3.94,113916.66666666667,3483.866666666667,8.888333347882776
1994-09-30,7331.075,148.9,6.0,4.486666666666667,114919.33333333333,3486.6666666666665,8.89987744169915
1994-12-31,7455.288,149.76666666666668,5.633333333333333,5.166666666666667,115832.66666666667,3485.9666666666667,8.916678858243396
1995-03-31,7522.289,150.86666666666667,5.466666666666666,5.81,116702.33333333333,3491.133333333333,8.925625758925039
1995-06-30,7580.997,152.1,5.666666666666667,6.02,117134.33333333333,3524.1,8.933400000330067
1995-09-30,7683.125,152.86666666666667,5.666666666666667,5.796666666666667,117633.66666666667,3586.1666666666665,8.946781644421606
1995-12-31,7772.586,153.70000000000002,5.566666666666666,5.72,118172.0,3620.933333333333,8.958358206522709
1996-03-31,7868.468,155.06666666666666,5.533333333333334,5.363333333333333,118682.0,3665.5333333333333,8.970618659183822
1996-06-30,8032.84,156.4,5.5,5.243333333333333,119474.66666666667,3709.933333333333,8.991293418136536
1996-09-30,8131.408,157.29999999999998,5.266666666666667,5.306666666666667,120205.66666666667,3744.8333333333335,9.003489373278796
1996-12-31,8259.771,158.66666666666666,5.333333333333333,5.28,120918.33333333333,3795.5,9.019152142159763
1997-03-31,8362.655,159.63333333333333,5.233333333333333,5.276666666666666,121674.0,3847.366666666667,9.031531239391766
